"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"f_1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"f_2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys",NA
"f_3","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella",NA
"f_4","Bacteria","Firmicutes","Clostridia","Clostridiales","Defluviitaleaceae","Defluviitaleaceae_UCG-011",NA
"f_5","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium",NA
"f_6","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20",NA,NA
"f_7","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flavonifractor",NA
"f_8","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema_2",NA
"f_9","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-008",NA
"f_10","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Neisseriaceae","Neisseria",NA
"f_11","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"f_12","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"f_13","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia",NA
"f_14","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella",NA
"f_15","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA
"f_16","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_NK4A214_group",NA
"f_17","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Williamsia","maris"
"f_18","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","jejuensis"
"f_19","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_9",NA
"f_20","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1",NA
"f_21","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus",NA
"f_22","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"f_23","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Clostridioides",NA
"f_24","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",NA
"f_25","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium",NA
"f_26","Bacteria","Firmicutes","Bacilli","Bacillales","Family_X","Thermicanus",NA
"f_27","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"f_28","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","intermedia"
"f_29","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema_2",NA
"f_30","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella",NA
"f_31","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Selenomonas_3",NA
"f_32","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII",NA,NA
"f_33","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium",NA
"f_34","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium",NA
"f_35","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum",NA
"f_36","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Corticibacter",NA
"f_37","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",NA
"f_38","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea",NA
"f_39","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus",NA
"f_40","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium",NA
"f_41","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"f_42","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"f_43","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA
"f_44","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7",NA
"f_45","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1",NA
"f_46","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Shuttleworthia",NA
"f_47","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus_1",NA
"f_48","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-004",NA
"f_49","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"f_50","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Parvimonas",NA
"f_51","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus",NA
"f_52","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"f_53","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides",NA
"f_54","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium",NA
"f_55","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Ornithinimicrobium",NA
"f_56","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"f_57","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema_2",NA
"f_58","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","Butyricimonas",NA
"f_59","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Catonella",NA
"f_60","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1",NA
"f_61","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter",NA
"f_62","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7",NA
"f_63","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella",NA
"f_64","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella",NA
